Timestep,Confidence Bin,Lower Bound,Upper Bound,Number of Samples,safe_stop,beneficial_continuation,destructive_continuation,futile_continuation
1,"[0.00, 0.50)",0.0,0.5,47,14.893616735935211,46.80851101875305,10.638298094272614,27.659574151039124
1,"[0.50, 0.60)",0.5,0.6,46,23.9130437374115,47.826087474823,10.869564861059189,17.391304671764374
1,"[0.60, 0.70)",0.6,0.7,42,35.71428656578064,45.23809552192688,7.14285746216774,11.90476194024086
1,"[0.70, 0.80)",0.7,0.8,55,32.72727131843567,34.54545438289642,16.363635659217834,16.363635659217834
1,"[0.80, 0.90)",0.8,0.9,42,35.71428656578064,26.1904776096344,26.1904776096344,11.90476194024086
1,"[0.90, 0.95)",0.9,0.95,19,36.84210479259491,21.052631735801697,31.578946113586426,10.526315867900848
1,"[0.95, 0.99)",0.95,0.99,11,45.45454680919647,0.0,36.36363744735718,18.18181872367859
1,"[0.99, 1.00]",0.99,1.0,2,50.0,0.0,0.0,50.0
2,"[0.00, 0.50)",0.0,0.5,39,17.94871836900711,33.33333432674408,15.384615957736969,33.33333432674408
2,"[0.50, 0.60)",0.5,0.6,40,22.499999403953552,25.0,22.499999403953552,30.000001192092896
2,"[0.60, 0.70)",0.6,0.7,38,26.31579041481018,26.31579041481018,15.789473056793213,31.578946113586426
2,"[0.70, 0.80)",0.7,0.8,39,61.538463830947876,12.820513546466827,15.384615957736969,10.256410390138626
2,"[0.80, 0.90)",0.8,0.9,52,53.84615659713745,7.6923079788684845,13.461539149284363,25.0
2,"[0.90, 0.95)",0.9,0.95,34,91.17646813392639,0.0,2.9411764815449715,5.882352963089943
2,"[0.95, 0.99)",0.95,0.99,18,94.44444179534912,5.55555559694767,0.0,0.0
2,"[0.99, 1.00]",0.99,1.0,4,75.0,0.0,0.0,25.0
3,"[0.00, 0.50)",0.0,0.5,25,3.999999910593033,28.00000011920929,11.999999731779099,56.00000023841858
3,"[0.50, 0.60)",0.5,0.6,50,31.999999284744263,15.999999642372131,23.999999463558197,28.00000011920929
3,"[0.60, 0.70)",0.6,0.7,37,43.24324429035187,8.10810774564743,16.21621549129486,32.43243098258972
3,"[0.70, 0.80)",0.7,0.8,39,48.71794879436493,5.128205195069313,5.128205195069313,41.025641560554504
3,"[0.80, 0.90)",0.8,0.9,41,78.04877758026123,7.31707289814949,0.0,14.63414579629898
3,"[0.90, 0.95)",0.9,0.95,30,73.33333492279053,0.0,0.0,26.66666805744171
3,"[0.95, 0.99)",0.95,0.99,33,100.0,0.0,0.0,0.0
3,"[0.99, 1.00]",0.99,1.0,9,88.88888955116272,0.0,0.0,11.11111119389534
4,"[0.00, 0.50)",0.0,0.5,34,8.82352963089943,17.64705926179886,23.52941185235977,50.0
4,"[0.50, 0.60)",0.5,0.6,31,22.580644488334656,9.677419066429138,38.70967626571655,29.032257199287415
4,"[0.60, 0.70)",0.6,0.7,36,50.0,8.33333358168602,8.33333358168602,33.33333432674408
4,"[0.70, 0.80)",0.7,0.8,40,50.0,0.0,2.500000037252903,47.49999940395355
4,"[0.80, 0.90)",0.8,0.9,43,79.0697693824768,0.0,0.0,20.930232107639313
4,"[0.90, 0.95)",0.9,0.95,29,79.31034564971924,0.0,0.0,20.68965584039688
4,"[0.95, 0.99)",0.95,0.99,40,94.9999988079071,0.0,0.0,5.000000074505806
4,"[0.99, 1.00]",0.99,1.0,11,90.90909361839294,0.0,0.0,9.090909361839294
5,"[0.00, 0.50)",0.0,0.5,37,10.810811072587967,16.21621549129486,18.918919563293457,54.054051637649536
5,"[0.50, 0.60)",0.5,0.6,22,36.36363744735718,18.18181872367859,36.36363744735718,9.090909361839294
5,"[0.60, 0.70)",0.6,0.7,36,50.0,0.0,0.0,50.0
5,"[0.70, 0.80)",0.7,0.8,34,58.82353186607361,0.0,0.0,41.17647111415863
5,"[0.80, 0.90)",0.8,0.9,50,63.999998569488525,0.0,0.0,36.000001430511475
5,"[0.90, 0.95)",0.9,0.95,30,80.0000011920929,0.0,0.0,20.000000298023224
5,"[0.95, 0.99)",0.95,0.99,40,92.5000011920929,0.0,0.0,7.500000298023224
5,"[0.99, 1.00]",0.99,1.0,15,100.0,0.0,0.0,0.0
6,"[0.00, 0.50)",0.0,0.5,32,15.625,15.625,15.625,53.125
6,"[0.50, 0.60)",0.5,0.6,28,28.57142984867096,7.14285746216774,7.14285746216774,57.14285969734192
6,"[0.60, 0.70)",0.6,0.7,33,51.51515007019043,3.030303120613098,0.0,45.45454680919647
6,"[0.70, 0.80)",0.7,0.8,35,60.00000238418579,0.0,0.0,40.00000059604645
6,"[0.80, 0.90)",0.8,0.9,44,63.63636255264282,0.0,0.0,36.36363744735718
6,"[0.90, 0.95)",0.9,0.95,33,78.78788113594055,0.0,0.0,21.212121844291687
6,"[0.95, 0.99)",0.95,0.99,43,90.69767594337463,0.0,0.0,9.302325546741486
6,"[0.99, 1.00]",0.99,1.0,16,100.0,0.0,0.0,0.0
7,"[0.00, 0.50)",0.0,0.5,27,25.925925374031067,14.814814925193787,3.7037037312984467,55.55555820465088
7,"[0.50, 0.60)",0.5,0.6,27,40.74074029922485,7.407407462596893,0.0,51.851850748062134
7,"[0.60, 0.70)",0.6,0.7,40,42.500001192092896,0.0,0.0,57.499998807907104
7,"[0.70, 0.80)",0.7,0.8,34,67.64705777168274,0.0,0.0,32.35294222831726
7,"[0.80, 0.90)",0.8,0.9,39,56.41025900840759,0.0,0.0,43.589743971824646
7,"[0.90, 0.95)",0.9,0.95,35,80.0000011920929,0.0,0.0,20.000000298023224
7,"[0.95, 0.99)",0.95,0.99,45,91.11111164093018,0.0,0.0,8.888889104127884
7,"[0.99, 1.00]",0.99,1.0,17,100.0,0.0,0.0,0.0
8,"[0.00, 0.50)",0.0,0.5,31,41.93548262119293,0.0,0.0,58.06451439857483
8,"[0.50, 0.60)",0.5,0.6,27,40.74074029922485,0.0,0.0,59.25925970077515
8,"[0.60, 0.70)",0.6,0.7,33,45.45454680919647,0.0,0.0,54.54545617103577
8,"[0.70, 0.80)",0.7,0.8,40,64.99999761581421,0.0,0.0,34.99999940395355
8,"[0.80, 0.90)",0.8,0.9,38,57.894736528396606,0.0,0.0,42.105263471603394
8,"[0.90, 0.95)",0.9,0.95,34,79.41176295280457,0.0,0.0,20.588235557079315
8,"[0.95, 0.99)",0.95,0.99,45,93.33333373069763,0.0,0.0,6.666667014360428
8,"[0.99, 1.00]",0.99,1.0,16,100.0,0.0,0.0,0.0
