model,fold,feature,train_mean,train_std
linear_gate,0,previous_top1_confidence,0.969138503074646,0.09239710122346878
linear_gate,0,previous_top1_margin,0.9432421922683716,0.16871747374534607
linear_gate,0,previous_normalized_entropy,0.036144305020570755,0.08954127132892609
linear_gate,0,new_top1_confidence,0.9778783321380615,0.07756981998682022
linear_gate,0,new_top1_margin,0.9592454433441162,0.14206549525260925
linear_gate,0,new_normalized_entropy,0.026857221499085426,0.07608531415462494
linear_gate,0,same_top1_class,0.9559107422828674,0.20529349148273468
linear_gate,0,new_probability_of_previous_class,0.948241651058197,0.18627026677131653
linear_gate,0,previous_probability_of_new_class,0.9434241056442261,0.18340259790420532
linear_gate,0,top1_confidence_delta,0.008739872835576534,0.07999246567487717
linear_gate,0,top1_margin_delta,0.016003265976905823,0.14802655577659607
linear_gate,0,js_divergence,0.01900777965784073,0.07873215526342392
linear_gate,0,normalized_timestep,0.625,0.25
linear_gate,1,previous_top1_confidence,0.9694794416427612,0.09174011647701263
linear_gate,1,previous_top1_margin,0.9438045024871826,0.16777007281780243
linear_gate,1,previous_normalized_entropy,0.035764217376708984,0.0888710543513298
linear_gate,1,new_top1_confidence,0.9779791831970215,0.07709489017724991
linear_gate,1,new_top1_margin,0.959360659122467,0.1415017992258072
linear_gate,1,new_normalized_entropy,0.026760004460811615,0.07567638903856277
linear_gate,1,same_top1_class,0.9562976360321045,0.20443210005760193
linear_gate,1,new_probability_of_previous_class,0.9485688209533691,0.18548691272735596
linear_gate,1,previous_probability_of_new_class,0.9438194632530212,0.18296219408512115
linear_gate,1,top1_confidence_delta,0.008499669842422009,0.07954481244087219
linear_gate,1,top1_margin_delta,0.015556111931800842,0.14730532467365265
linear_gate,1,js_divergence,0.018912028521299362,0.07868822664022446
linear_gate,1,normalized_timestep,0.625,0.25
linear_gate,2,previous_top1_confidence,0.9695237874984741,0.09178904443979263
linear_gate,2,previous_top1_margin,0.9439112544059753,0.1677597463130951
linear_gate,2,previous_normalized_entropy,0.03570086136460304,0.08884337544441223
linear_gate,2,new_top1_confidence,0.9780183434486389,0.07726646214723587
linear_gate,2,new_top1_margin,0.9594551920890808,0.14174328744411469
linear_gate,2,new_normalized_entropy,0.026670224964618683,0.07562685012817383
linear_gate,2,same_top1_class,0.9561964273452759,0.20465780794620514
linear_gate,2,new_probability_of_previous_class,0.9485734105110168,0.185688316822052
linear_gate,2,previous_probability_of_new_class,0.9439884424209595,0.1826203316450119
linear_gate,2,top1_confidence_delta,0.008494444191455841,0.0795876607298851
linear_gate,2,top1_margin_delta,0.015543986111879349,0.14729903638362885
linear_gate,2,js_divergence,0.018844861537218094,0.07853227853775024
linear_gate,2,normalized_timestep,0.625,0.25
linear_gate,3,previous_top1_confidence,0.9695965647697449,0.09163983166217804
linear_gate,3,previous_top1_margin,0.9440523386001587,0.1673957109451294
linear_gate,3,previous_normalized_entropy,0.03564940392971039,0.08888573944568634
linear_gate,3,new_top1_confidence,0.9781665802001953,0.07689645886421204
linear_gate,3,new_top1_margin,0.9597336053848267,0.14102929830551147
linear_gate,3,new_normalized_entropy,0.026547564193606377,0.0754711851477623
linear_gate,3,same_top1_class,0.9563690423965454,0.20427259802818298
linear_gate,3,new_probability_of_previous_class,0.948721170425415,0.18556679785251617
linear_gate,3,previous_probability_of_new_class,0.9440154433250427,0.18270255625247955
linear_gate,3,top1_confidence_delta,0.008569988422095776,0.07950588315725327
linear_gate,3,top1_margin_delta,0.015681244432926178,0.14713309705257416
linear_gate,3,js_divergence,0.01888512633740902,0.07866290211677551
linear_gate,3,normalized_timestep,0.625,0.25
linear_gate,4,previous_top1_confidence,0.9696332812309265,0.09138292819261551
linear_gate,4,previous_top1_margin,0.9439722895622253,0.16750352084636688
linear_gate,4,previous_normalized_entropy,0.03550935909152031,0.08824162930250168
linear_gate,4,new_top1_confidence,0.9783373475074768,0.07621419429779053
linear_gate,4,new_top1_margin,0.959936261177063,0.14031562209129333
linear_gate,4,new_normalized_entropy,0.026348162442445755,0.07462338358163834
linear_gate,4,same_top1_class,0.956845223903656,0.2032053917646408
linear_gate,4,new_probability_of_previous_class,0.9490947723388672,0.18458665907382965
linear_gate,4,previous_probability_of_new_class,0.9443308115005493,0.18170246481895447
linear_gate,4,top1_confidence_delta,0.008704099804162979,0.07956094294786453
linear_gate,4,top1_margin_delta,0.015963904559612274,0.1475771963596344
linear_gate,4,js_divergence,0.018718697130680084,0.07812807708978653
linear_gate,4,normalized_timestep,0.625,0.25
mlp16_gate,0,previous_top1_confidence,0.969138503074646,0.09239710122346878
mlp16_gate,0,previous_top1_margin,0.9432421922683716,0.16871747374534607
mlp16_gate,0,previous_normalized_entropy,0.036144305020570755,0.08954127132892609
mlp16_gate,0,new_top1_confidence,0.9778783321380615,0.07756981998682022
mlp16_gate,0,new_top1_margin,0.9592454433441162,0.14206549525260925
mlp16_gate,0,new_normalized_entropy,0.026857221499085426,0.07608531415462494
mlp16_gate,0,same_top1_class,0.9559107422828674,0.20529349148273468
mlp16_gate,0,new_probability_of_previous_class,0.948241651058197,0.18627026677131653
mlp16_gate,0,previous_probability_of_new_class,0.9434241056442261,0.18340259790420532
mlp16_gate,0,top1_confidence_delta,0.008739872835576534,0.07999246567487717
mlp16_gate,0,top1_margin_delta,0.016003265976905823,0.14802655577659607
mlp16_gate,0,js_divergence,0.01900777965784073,0.07873215526342392
mlp16_gate,0,normalized_timestep,0.625,0.25
mlp16_gate,1,previous_top1_confidence,0.9694794416427612,0.09174011647701263
mlp16_gate,1,previous_top1_margin,0.9438045024871826,0.16777007281780243
mlp16_gate,1,previous_normalized_entropy,0.035764217376708984,0.0888710543513298
mlp16_gate,1,new_top1_confidence,0.9779791831970215,0.07709489017724991
mlp16_gate,1,new_top1_margin,0.959360659122467,0.1415017992258072
mlp16_gate,1,new_normalized_entropy,0.026760004460811615,0.07567638903856277
mlp16_gate,1,same_top1_class,0.9562976360321045,0.20443210005760193
mlp16_gate,1,new_probability_of_previous_class,0.9485688209533691,0.18548691272735596
mlp16_gate,1,previous_probability_of_new_class,0.9438194632530212,0.18296219408512115
mlp16_gate,1,top1_confidence_delta,0.008499669842422009,0.07954481244087219
mlp16_gate,1,top1_margin_delta,0.015556111931800842,0.14730532467365265
mlp16_gate,1,js_divergence,0.018912028521299362,0.07868822664022446
mlp16_gate,1,normalized_timestep,0.625,0.25
mlp16_gate,2,previous_top1_confidence,0.9695237874984741,0.09178904443979263
mlp16_gate,2,previous_top1_margin,0.9439112544059753,0.1677597463130951
mlp16_gate,2,previous_normalized_entropy,0.03570086136460304,0.08884337544441223
mlp16_gate,2,new_top1_confidence,0.9780183434486389,0.07726646214723587
mlp16_gate,2,new_top1_margin,0.9594551920890808,0.14174328744411469
mlp16_gate,2,new_normalized_entropy,0.026670224964618683,0.07562685012817383
mlp16_gate,2,same_top1_class,0.9561964273452759,0.20465780794620514
mlp16_gate,2,new_probability_of_previous_class,0.9485734105110168,0.185688316822052
mlp16_gate,2,previous_probability_of_new_class,0.9439884424209595,0.1826203316450119
mlp16_gate,2,top1_confidence_delta,0.008494444191455841,0.0795876607298851
mlp16_gate,2,top1_margin_delta,0.015543986111879349,0.14729903638362885
mlp16_gate,2,js_divergence,0.018844861537218094,0.07853227853775024
mlp16_gate,2,normalized_timestep,0.625,0.25
mlp16_gate,3,previous_top1_confidence,0.9695965647697449,0.09163983166217804
mlp16_gate,3,previous_top1_margin,0.9440523386001587,0.1673957109451294
mlp16_gate,3,previous_normalized_entropy,0.03564940392971039,0.08888573944568634
mlp16_gate,3,new_top1_confidence,0.9781665802001953,0.07689645886421204
mlp16_gate,3,new_top1_margin,0.9597336053848267,0.14102929830551147
mlp16_gate,3,new_normalized_entropy,0.026547564193606377,0.0754711851477623
mlp16_gate,3,same_top1_class,0.9563690423965454,0.20427259802818298
mlp16_gate,3,new_probability_of_previous_class,0.948721170425415,0.18556679785251617
mlp16_gate,3,previous_probability_of_new_class,0.9440154433250427,0.18270255625247955
mlp16_gate,3,top1_confidence_delta,0.008569988422095776,0.07950588315725327
mlp16_gate,3,top1_margin_delta,0.015681244432926178,0.14713309705257416
mlp16_gate,3,js_divergence,0.01888512633740902,0.07866290211677551
mlp16_gate,3,normalized_timestep,0.625,0.25
mlp16_gate,4,previous_top1_confidence,0.9696332812309265,0.09138292819261551
mlp16_gate,4,previous_top1_margin,0.9439722895622253,0.16750352084636688
mlp16_gate,4,previous_normalized_entropy,0.03550935909152031,0.08824162930250168
mlp16_gate,4,new_top1_confidence,0.9783373475074768,0.07621419429779053
mlp16_gate,4,new_top1_margin,0.959936261177063,0.14031562209129333
mlp16_gate,4,new_normalized_entropy,0.026348162442445755,0.07462338358163834
mlp16_gate,4,same_top1_class,0.956845223903656,0.2032053917646408
mlp16_gate,4,new_probability_of_previous_class,0.9490947723388672,0.18458665907382965
mlp16_gate,4,previous_probability_of_new_class,0.9443308115005493,0.18170246481895447
mlp16_gate,4,top1_confidence_delta,0.008704099804162979,0.07956094294786453
mlp16_gate,4,top1_margin_delta,0.015963904559612274,0.1475771963596344
mlp16_gate,4,js_divergence,0.018718697130680084,0.07812807708978653
mlp16_gate,4,normalized_timestep,0.625,0.25
